"","combo_parking","income_c","n","pct"
"1","No vehicle","low",183083.683,0.629244666618258
"2","No vehicle","middle-low",41780.4842,0.143596340322575
"3","No vehicle","middle-high",36062.5701,0.123944305293291
"4","No vehicle","high",30031.1249,0.103214687765877
"5","Off-street only","low",78872.5802,0.189645602565164
"6","Off-street only","middle-low",67340.3378,0.161916839878185
"7","Off-street only","middle-high",101150.5105,0.243211892712322
"8","Off-street only","high",168531.1619,0.405225664844329
"9","On- and off-street","low",14015.5827,0.132738858508355
"10","On- and off-street","middle-low",14612.4326,0.138391507857484
"11","On- and off-street","middle-high",22378.6527,0.211943868331133
"12","On- and off-street","high",54580.9712,0.516925765303028
"13","On-street only","low",101571.5301,0.337789287236428
"14","On-street only","middle-low",75208.5504,0.250115781545177
"15","On-street only","middle-high",65476.3382,0.217750048558432
"16","On-street only","high",58438.5232,0.194344882659963
